Block 736: res=8b, exp=8b
Block 737: res=8c, exp=8c
Block 738: res=89, exp=89
Block 739: res=87, exp=87
Block 740: res=89, exp=89
Block 741: res=89, exp=89
Block 742: res=88, exp=88
Block 743: res=8c, exp=8c
Block 744: res=8c, exp=8c
Block 745: res=8d, exp=8d
Block 746: res=8c, exp=8c
Block 747: res=8c, exp=8c
Block 748: res=8c, exp=8c
Block 749: res=8b, exp=8b
Block 750: res=8b, exp=8b
Block 751: res=89, exp=89
Block 752: res=8c, exp=8c
Block 753: res=8d, exp=8d
Block 754: res=8e, exp=8e
Block 755: res=8d, exp=8d
Block 756: res=8e, exp=8e
Block 757: res=8e, exp=8e
Block 758: res=8c, exp=8c
Block 759: res=8a, exp=8a
Block 760: res=86, exp=86
Block 761: res=87, exp=87
Block 762: res=8a, exp=8a
Block 763: res=90, exp=90
Block 764: res=aa, exp=aa
Block 765: res=b5, exp=b5
Block 766: res=b2, exp=b2
Block 767: res=97, exp=97
Block 768: res=b4, exp=b4
Block 769: res=b2, exp=b2
Block 770: res=b4, exp=b4
Block 771: res=b3, exp=b3
Block 772: res=b4, exp=b4
Block 773: res=b4, exp=b4
Block 774: res=b0, exp=b0
Block 775: res=ad, exp=ad
Block 776: res=af, exp=af
Block 777: res=af, exp=af
Block 778: res=ad, exp=ad
Block 779: res=ac, exp=ac
Block 780: res=ac, exp=ac
Block 781: res=ac, exp=ac
Block 782: res=ab, exp=ab
Block 783: res=af, exp=af
Block 784: res=b0, exp=b0
Block 785: res=ae, exp=ae
Block 786: res=b4, exp=b4
Block 787: res=ba, exp=ba
Block 788: res=be, exp=be
Block 789: res=c0, exp=c0
Block 790: res=c2, exp=c2
Block 791: res=c2, exp=c2
Block 792: res=c1, exp=c1
Block 793: res=c1, exp=c1
Block 794: res=bc, exp=bc
Block 795: res=b4, exp=b4
Block 796: res=a9, exp=a9
Block 797: res=9d, exp=9d
Block 798: res=8d, exp=8d
Block 799: res=80, exp=80
Block 800: res=71, exp=71
Block 801: res=68, exp=68
Block 802: res=67, exp=67
Block 803: res=6a, exp=6a
Block 804: res=6d, exp=6d
Block 805: res=73, exp=73
Block 806: res=78, exp=78
Block 807: res=78, exp=78
Block 808: res=76, exp=76
Block 809: res=75, exp=75
Block 810: res=74, exp=74
Block 811: res=76, exp=76
Block 812: res=74, exp=74
Block 813: res=76, exp=76
Block 814: res=77, exp=77
Block 815: res=76, exp=76
Block 816: res=77, exp=77
Block 817: res=78, exp=78
Block 818: res=78, exp=78
Block 819: res=7a, exp=7a
Block 820: res=7c, exp=7c
Block 821: res=80, exp=80
Block 822: res=83, exp=83
Block 823: res=84, exp=84
Block 824: res=87, exp=87
Block 825: res=8b, exp=8b
Block 826: res=8d, exp=8d
Block 827: res=8c, exp=8c
Block 828: res=8b, exp=8b
Block 829: res=8b, exp=8b
